id_peli,actores_10
tt10065228,"[('Guilherme Chelucci', 'NULL', ['Reparto', 'Reparto'], ['su papel en Haja Coração', 'Marcas da Vida', 'Sede de Furia'], 'NULL'), ('Jefferson Mascarenhas', 'NULL', ['Reparto', 'Reparto'], ['su papel en Five Minutes a Day'], 'NULL')]"
tt11499506,"[('Fabrizio Gifuni', '1966', ['Reparto', 'Guion', 'Producción'], ['El capital humano', 'Piazza Fontana: La conspiración italiana', 'Hannibal'], ['Berlin International Film Festival 2002 Ganador EFP Shooting Star Italy.', 'David di Donatello Awards 2023 Ganador David Best Actor (Migliore Attore Protagonista) Exterior noche 2014 Ganador David Best Supporting Actor (Migliore Attore non Protagonista) El capital humano 2012 Nominado David Best Supporting Actor (Migliore Attore non Protagonista) Piazza Fontana: La conspiración italiana 2008 Nominado David Best Supporting Actor (Migliore Attore non Protagonista) No mires atrás 2004 Nominado David Best Supporting Actor (Migliore Attore non Protagonista) La mejor juventud 1 más', 'Giffoni Film Festival 2012 Ganador Giffoni Award', ""Italian National Syndicate of Film Journalists 2023 Ganador Nastri d'Argento Grandi Serie Best Actor (Miglior Attore Protagonista) Exterior noche 2021 Nominado Silver Ribbon Best Actor (Migliore Attore Protagonista) La bestia 2021 Nominado Silver Ribbon Best Supporting Actor (Migliore Attore Non Protagonista) Lei mi parla ancora 2014 Ganador Silver Ribbon Best Actor (Migliore Attore Protagonista) El capital humano Compartido con: Fabrizio Bentivoglio 2012 Nominado Silver Ribbon Best Supporting Actor (Migliore Attore Non Protagonista) Piazza Fontana: La conspiración italiana 2 más"", ""Monte-Carlo TV Festival 2019 Nominado Golden Nymph Outstanding Actor in a Long Fiction Program Antes de que anochezca 2010 Ganador Golden Nymph Outstanding Actor in a Mini-Series C'era una volta la città dei matti...""]), ('Lino Musella', '1980', ['Reparto', 'Reparto'], ['Fue la mano de Dios', 'Ferrari', 'Queridos vecinos'], 'NULL'), ('Monica Piseddu', 'NULL', ['Reparto', 'Reparto'], ['su papel en La gran belleza', 'La bestia', ""L'anno prossimo""], 'NULL'), ('Andrea Pennacchi', 'NULL', ['Reparto', 'Reparto'], ['su papel en Todos quieren salvarse', 'Suburra', 'La bestia'], 'NULL'), ('Emanuele Linfatti', 'NULL', ['Reparto', 'Reparto'], ['su papel en Margini', 'La bestia', 'Diabolik chi sei?'], 'NULL'), ('Nicolò Galasso', '1998', ['Reparto', 'Reparto'], ['La bestia', ""La notte più lunga dell'anno"", 'Piove'], 'NULL'), ('Giacomo Colavito', 'NULL', ['Reparto', 'Casting', 'Reparto'], ['su papel en La bestia', 'Nuovo Olimpo', 'Ripley'], 'NULL'), ('Giada Gagliardi', 'NULL', ['Reparto', 'Reparto'], ['su papel en La bestia', 'Luna Nera'], 'NULL'), ('Gianmarco Vettori', 'NULL', ['Reparto', 'Reparto'], ['su papel en Bandoleros', 'M'], 'NULL'), ('Silvia Gallerano', 'NULL', ['Reparto', 'Reparto'], ['su papel en La bestia', 'No matarás', ""Riccardo va all'inferno""], 'NULL')]"
tt11772858,"[('Haley Camp', 'NULL', ['Reparto', 'Reparto'], ['su papel en Sound Mind: No Longer Home'], 'NULL'), ('Mary Camp', 'NULL', ['Reparto', 'Maquillaje', 'Reparto'], ['su papel en Sound Mind: No Longer Home', 'The Shades'], 'NULL'), ('E. Rochelle Pickens', 'NULL', ['Reparto', 'Equipos adicionales', 'Reparto'], ['su papel en Red Light', 'The Therapist', 'Bedside'], 'NULL')]"
tt10068922,"[('Elsie Alexander-Parris', 'NULL', ['Reparto', 'Reparto'], ['su papel en Mirror Mirror'], 'NULL'), ('Ste Bergin', '1997', ['Reparto', 'Producción', 'Dirección'], ['A Manchester Story', 'Anne Droid y Revolution C'], 'NULL'), ('Daniel Brindley', 'NULL', ['Reparto', 'Producción', 'Reparto'], ['su papel en Butterfly, Lost', 'Seen (Proof of Concept', 'Intervention Snacks'], 'NULL'), ('Hannah Collins', 'NULL', ['Reparto', 'Reparto'], ['su papel en Mirror Mirror', 'One Day Like This'], 'NULL'), ('Helen Stenbekk', 'NULL', ['Reparto', 'Reparto'], ['su papel en Mirror Mirror'], 'NULL')]"
tt10612478,"[('Adam Rodness', '1983', ['Reparto', 'Producción', 'Guion'], ['Faking a Murderer', 'Vandits', 'Hemlock Grove'], [""Toronto Independent Film Festival, CA 2016 Ganador Festival Director's Award Best Horror Feature The Haunted House on Kirby Road"", 'Cult Critic Movie Awards 2020 Ganador CCMA Award Cult Film / Underground Film / Exploitation Movie / Midnight Film / Para Cinema Faking a Murderer Compartido con: Stuart Stone 2020 Ganador CCMA Award Cult Film / Underground Film / Exploitation Movie / Midnight Film / Para Cinema Faking a Murderer Compartido con: Stuart Stone 2020 Nominado Jean-Luc Godard Award TCCC: CULT FILM / UNDERGROUND FILM / EXPLOITATION MOVIE / MIDNIGHT FILM / PARA CINEMA Faking a Murderer Compartido con: Stuart Stone', 'Montreal Independent Film Festival 2022 Ganador Best Comedy Feature Film Vandits Compartido con: Stuart Stone', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']), ('Stuart Stone', '1980', ['Reparto', 'Guion', 'Producción'], ['Donnie Darko', 'Vandits', 'Faking a Murderer'], 'NULL'), ('Josh Cruddas', 'NULL', ['Reparto', 'Composición', 'Música'], ['Resident Evil: Bienvenidos a Raccoon City', 'Polar', 'Todo por Jackson'], ['ACTRA Awards 2023 Nominado ACTRA Toronto Award Outstanding Performance - Gender Non-Conforming or Male Voice Doomlands Episode: Imaginary Friends 2013 Nominado ACTRA Maritimes Award Outstanding Performance - Male Copperhead', 'Accolade Competition 2015 Ganador Award of Excellence Original Score Madness Compartido con: Sarah Ann Chisholm · Murry Yates 2015 Ganador Award of Excellence Original Score Madness', 'Maverick Movie Awards 2015 Nominado Maverick Movie Award Best Original Score: Short Madness Compartido con: Murry Yates · Sarah Ann Chisholm', 'Global Music Awards (GMA) 2015 Ganador Bronze Medal Original Score/Soundtrack Madness Compartido con: Murry Yates · Sarah Ann Chisholm', 'International Independent Film Awards 2015 Ganador Platinum Award Best Original Score Madness Compartido con: Sarah Ann Chisholm · Murry Yates']), ('Phillip Jarrett', '1959', ['Reparto', 'Banda sonora', 'Reparto'], ['El día de mañana', 'El lado siniestro de la luna', 'Herida abierta'], 'NULL'), ('Bill MacDonald', 'NULL', ['Reparto', 'Reparto'], ['su papel en Una historia de violencia', 'Memoria letal', 'El callejón de las almas perdidas'], 'NULL'), ('Tony Nappo', 'NULL', ['Reparto', 'Guion', 'Producción'], 'NULL', 'NULL')]"
tt13875862,"[('Jordan Wilson', 'NULL', ['Reparto', 'Dirección', 'Producción'], ['su papel en The Teleporter', 'World', 'Wild Card'], 'NULL'), ('Jords V', 'NULL', ['Reparto', 'Reparto'], ['su papel en Wild Card', 'Supercell', 'Glow Gun'], 'NULL'), ('Jordz Five', 'NULL', ['Reparto', 'Reparto'], ['su papel en Wild Card'], 'NULL'), ('Walson Jordan', 'NULL', ['Reparto', 'Reparto'], ['su papel en Wild Card', ""Shiloh's Life""], 'NULL'), ('Wilson Jordan', 'NULL', ['Reparto', 'Reparto'], ['su papel en The Teleporter', 'Wild Card', ""I'm A Monster""], 'NULL'), ('Walso Jordo', 'NULL', ['Reparto', 'Guion', 'Dirección de fotografía y cámara'], ['su papel en World: The Search', 'The Teleporter', 'World'], 'NULL'), ('Walson Jordo', 'NULL', ['Reparto', 'Reparto'], ['su papel en Wild Card', 'Supercell', ""I'm A Monster""], 'NULL'), ('Jords Extra Two', 'NULL', ['Reparto', 'Reparto'], ['su papel en Wild Card'], 'NULL'), ('Walso Jords', 'NULL', ['Reparto', 'Reparto'], ['su papel en The Teleporter', 'Wild Card', ""I'm A Monster""], 'NULL')]"
tt3102440,"[('Anders Baasmo', '1976', ['Reparto', 'Reparto'], ['Kon-Tiki', 'Welcome to Norway!', 'Uno tras otro'], ['Berlin International Film Festival 2010 Ganador EFP Shooting Star Norway.', 'Monte-Carlo TV Festival 2019 Nominado Golden Nymph Outstanding Actor - Comedy Series En natt', 'Amanda Awards, Norway 2017 Nominado Amanda Best Actor (Årets mannlige skuespiller) Hoggeren 2017 Nominado Amanda Best Supporting Actor (Årets mannlige birolle) La decisión del rey 2016 Ganador Amanda Best Actor (Årets mannlige skuespiller) Welcome to Norway! 2015 Nominado Amanda Best Supporting Actor (Årets mannlige birolle) Capitán Diente de Sable y el tesoro de Lama Rama 2004 Ganador Amanda Best Actor (Årets mannlige skuespiller) Buddy', 'Kosmorama, Trondheim Internasjonale Filmfestival 2013 Nominado Kanonprisen Best Supporting Actor Fuck Up 2010 Ganador Kanonprisen Best Male Actor in a Leading Role North', 'Gullruten 2024 Ganador Gullruten Best Actor / Actress in a Supporting Role - Drama Makta 2018 Nominado Gullruten Best Actor En natt 2016 Nominado Gullruten Best Actor Dag']), ('Ida Husøy', 'NULL', ['Reparto', 'Reparto'], ['su papel en Borning: A todo gas', 'Børning: Más rápido, más peligroso', 'Borning: Asfalto en llamas'], 'NULL'), ('Sven Nordin', '1957', ['Reparto', 'Banda sonora', 'Reparto'], ['Borning: A todo gas', 'Sønner av Norge', 'Shackleton: La odisea del Antártico'], ['Amanda Awards, Norway 2012 Nominado Amanda Best Actor (Årets mannlige skuespiller) Sønner av Norge 2006 Nominado Amanda Best Supporting Actor/Actress (Årets birolle) Elsk meg i morgen', 'Tallinn Black Nights Film Festival 2011 Ganador Jury Prize Best Actor Sønner av Norge', 'Kosmorama, Trondheim Internasjonale Filmfestival 2012 Ganador Kanonprisen Best Supporting Actor Sønner av Norge Tied with Hans Olav Brenner for Oslo, 31. august.', 'Gullruten 2021 Ganador Gullruten Best Actor / Actress in a Supporting Role Rådebank', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir']), ('Otto Jespersen', '1954', ['Reparto', 'Guion', 'Reparto'], ['Trollhunter', 'Borning: A todo gas', 'Nattskiftet'], 'NULL'), ('Jenny Skavlan', '1986', ['Reparto', 'Guion', 'Reparto'], ['Zombis nazis', 'Borning: A todo gas', 'Børning: Más rápido, más peligroso'], 'NULL'), ('Henrik Mestad', '1964', ['Reparto', 'Dirección', 'Guion'], ['Borning: A todo gas', 'Hijos', 'Occupied'], ['Amanda Awards, Norway 2015 Ganador Amanda Best Supporting Actor (Årets mannlige birolle) Borning: A todo gas 2007 Ganador Amanda Best Supporting Actor/Actress (Årets birolle) Hijos', 'Kosmorama, Trondheim Internasjonale Filmfestival 2007 Ganador Kanonprisen Best Supporting Actor Hijos', 'Gullruten 2024 Nominado Gullruten Best Actor / Actress - Comedy Dummedag 2021 Nominado Gullruten Best Actor / Actress in a Supporting Role Hvite gutter', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']), ('Trond Halbo', '1977', ['Reparto', 'Reparto'], ['Hotel Cæsar', 'Mammon', 'Borning: A todo gas'], 'NULL'), ('Oskar Sandven Lundevold', 'NULL', ['Reparto', 'Reparto'], ['su papel en Halvbroren', 'De fredløse', 'Borning: A todo gas'], 'NULL'), ('Camilla Frey', 'NULL', ['Reparto', 'Reparto'], ['su papel en Ammo', 'Livstid', 'Valkyrien (Serie de TV'], 'NULL'), ('Marie Blokhus', '1982', ['Reparto', 'Dirección', 'Guion'], ['El duodécimo hombre', 'Jag etter vind', 'Borning: A todo gas'], 'NULL')]"
tt15444472,[]
tt10990902,"[('Danice Cabanela', 'NULL', ['Reparto', 'Producción', 'Guion'], ['su papel en Frasier', 'Queridos blancos', 'Animaladas'], 'NULL'), ('Janet Demeter', 'NULL', ['Reparto', 'Reparto'], ['su papel en About a Boy', 'The Pink Lotus', 'Come Dawn'], 'NULL'), ('Angie Téodora Dick', 'NULL', ['Reparto', 'Guion', 'Producción'], ['Framed by My Sister', 'Chronicles of Jessica Wu', 'Morir de pie'], 'NULL'), ('Linda Kessler', 'NULL', ['Especialistas', 'Reparto', 'Especialistas'], ['su papel en Tenet', 'Capitana Marvel', 'Fear the Walking Dead'], 'NULL')]"
tt12060242,"[('Chris Wolfe', '1990', ['Reparto', 'Reparto'], ['Hideout', 'Where Are You, Bobby Browning?', 'One Penny'], ['Tabloid Witch Awards 2021 Ganador Tabloid Witch Award Best Dramactic Actor Hideout', 'BloodGuts UK Horror Awards 2022 Nominado BloodGuts UK Horror Award Best Actor/Actress in an Independent Feature Hideout', 'FirstGlance Film Festival, Philadelphia 2021 Nominado Best Actor Best Actor, Feature Hideout 2021 Ganador Best Ensemble Cast Best Ensemble Cast, Feature Hideout Compartido con: Kris Roselli · Katie Lyons · Bryan Enright · Janice LaFlam · Audrey Kovár · Mark A. Baum · Tierney Boorboor ·', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']), ('Bradford Haynes', '1981', ['Reparto', 'Producción', 'Guion'], ['Un paraíso peligroso', 'War of the Worlds: Annihilation', 'Best Summer Ever'], ['International Christian Film Festival 2024 Nominado Best Actor Best Actor Undefiled', 'The Monthly Film Festival (TMFF) 2018 Ganador March Award Trailer of the Month Blue Lines', 'Global Film Festival Awards 2018 Ganador Honorable Mention Honorable Mention Blue Lines Compartido con: Terrell Pinckney', 'Silver State Film Festival 2021 Ganador Grand Prize Best Narrative Feature Reversal Compartido con: Jack Skyyler · Alex Zinzopoulos · Gini Graham Scott · Peter Anderson · Kaye L. Morris · Xavier Avila · · · · · · · · ·', 'Vegas Cine Fest 2021 Ganador Festival Award Best Feature Reversal Compartido con: Gini Graham Scott · Rodrick Rip Jones · Jack Skyyler · Alex Zinzopoulos · Anthony W. Preston · · · ·']), ('Jessica Jones', 'NULL', ['Reparto', 'Reparto'], 'NULL', 'NULL'), ('Robert Crayton', 'NULL', ['Reparto', 'Sonido', 'Equipo ejecutivo'], ['Ant-Man', 'All Beef y Life of a Struggling Actor'], [""North Carolina Film Awards 2016 Nominado President's Award Best Film No Child Compartido con: Rob Underhill · Aravind Ragupathi · Will Williams · Allen Gies · Steven Grove · Timmy Richardson · · ·"", 'Global Shorts, Los Angeles 2021 Ganador Special Mention Short Film All Beef Compartido con: Marki Henderson · Jason Louder · Jeff Kidd · Justin McFadden · Eric Person · Heather Elaine · · · · · · · · · · 2021 Nominado Global Shorts Award Best Short Film All Beef Compartido con: Marki Henderson · Emanuel Alexander · Jason Louder · Eric Person · Heather Elaine · Gabrielle Henderson · · · · · · · · · ·', 'Lancaster International Short Film Festival 2015 Nominado Best of Festival Best Short No Child Compartido con: Rob Underhill · Aravind Ragupathi · Will Williams · Allen Gies · Steven Grove · Timmy Richardson · · ·', 'Charlotte Black Film Festival 2014 Nominado Best Feature Film Life of a Struggling Actor Compartido con: Gabrielle Henderson · Marki Henderson · Elving Almeida · Kimberly Bowen · Latherio Boyd · Kendrich Daniels · · · · · · · · · · · · · ·', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir']), ('Jeremy Carr', 'NULL', ['Reparto', 'Dirección', 'Guion'], ['su papel en Fly Me to the Moon', 'Nightmare Pageant Moms', 'No Vacancy'], ['Best Shorts Competition 2021 Ganador Award of Merit Best Leading Actor Moments 2021 Ganador Award of Merit Film Short Moments', 'Top Indie Film Awards 2021 Ganador Spring Award Best Writing Moments 2021 Nominado Spring Award Best Short Moments 2021 Nominado Spring Award Best Actor Moments', 'Direct Monthly Online Film Festival 2024 Ganador February Award Best Film of the Month The Callback Compartido con: Art Parsells 2022 Ganador December Award Best Music Video Christmas Without You 2021 Ganador October Award Best Jury Choice Award Hello Mattress', 'Frostbite International Film Festival 2021 Ganador April Award Best Narrative Short Moments', 'AltFF Alternative Film Festival 2022 Nominado Winter Award Best Horror North America Buy Yourself for Christmas 2022 Nominado Winter Award Best Drama The Rush Call Compartido con: Trey Riley · Jennifer G. Taylor 2022 Nominado Winter Award Best Actor The Rush Call 2021 Ganador Summer Award Best Drama North America Moments 2021 Ganador Summer Award Best Edit The Deal']), ('Carson Lee Bradshaw', 'NULL', ['Reparto', 'Guion', 'Producción'], 'NULL', 'NULL'), ('Brigham McNeely', 'NULL', ['Reparto', 'Dirección', 'Producción'], ['su papel en Women of the Movement (Serie de TV', 'Metamorphosis', 'Airborne'], 'NULL'), ('Marcus Nelson', 'NULL', ['Reparto', 'Reparto'], ['su papel en Blue Beetle', 'An Awful Thing Has Gone and Happened', 'Homicide Hunter: Lt'], 'NULL'), ('Dillon Mann', 'NULL', ['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Especialistas'], ['su papel en The Holy Heist', 'Fuego abierto', 'Mujeres asesinas'], 'NULL'), ('Neftali Hernandez', 'NULL', ['Reparto', 'Guion', 'Reparto'], ['su papel en Un hombre de Florida', 'Queen of the South', 'Homicide Hunter: Devil in the Mountains'], 'NULL')]"
