"nombre","año_nacimiento","que_hace","conocido_por","premios","ID_IMDB"
"Adrienne Frantz","1978","['Reparto', 'Sonido', 'Banda sonora']","['Belleza y poder', 'The Young and the Restless', 'Justified: La ley de Raylan']","['Daytime Emmy Awards 2003 Nominado Daytime Emmy Outstanding Younger Actress in a Drama Series Belleza y poder 2001 Ganador Daytime Emmy Outstanding Younger Actress in a Drama Series Belleza y poder 2000 Nominado Daytime Emmy Outstanding Younger Actress in a Drama Series Belleza y poder For playing ""Amber Forrester"".', 'Soap Opera Digest Awards 2001 Nominado Soap Opera Digest Award Outstanding Younger Lead Actress Belleza y poder 2000 Nominado Soap Opera Digest Award Outstanding Younger Lead Actress Belleza y poder', 'Young Artist Awards 2000 Nominado Young Artist Award Best Performance in a Soap Opera - Young Actress Belleza y poder 1999 Ganador Young Artist Award Best Performance in a Day Time Serial - Young Performer Belleza y poder', 'Online Film & Television Association 2001 Nominado OFTA Television Award Best Supporting Actress in a Daytime Serial Belleza y poder', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir']","tt0464891"
"Frank Nicotero","1969","['Equipos adicionales', 'Reparto', 'Producción']","['Tiny Commando', 'Tribute', 'Beyond Twisted']","NULL","tt0464891"
"Amber Benson","1977","['Reparto', 'Guion', 'Dirección']","['Chance', 'Veneno en la piel', 'Latter Days']","['Sidewalk Film Festival 2002 Ganador Audience Choice Award Best Feature Chance', 'L.A. Outfest 2005 Ganador Grand Jury Award Outstanding Actress in a Feature Film Race You to the Bottom', 'Young Artist Awards 1994 Nominado Young Artist Award Best Youth Actress Co-Starring in a Motion Picture Drama El rey de la colina', 'Oldenburg Film Festival 2010 Nominado German Independence Award - Audience Award Drones Compartido con: Adam Busch', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir']","tt0464891"
"Max Gail","1943","['Reparto', 'Dirección', 'Guion']","['42: La verdadera historia de una leyenda del deporte', 'Vida y milagros del Capitán Miller', 'Hospital General']","['Daytime Emmy Awards 2021 Ganador Daytime Emmy Outstanding Performance by a Supporting Actor in a Drama Series Hospital General 2019 Ganador Daytime Emmy Outstanding Supporting Actor in a Drama Series Hospital General For playing: ""Mike Corbin"".', 'Primetime Emmy Awards 1980 Nominado Primetime Emmy Outstanding Supporting Actor in a Comedy or Variety or Music Series Vida y milagros del Capitán Miller For playing ""Stan ""Wojo"" Wojciehowicz"". 1979 Nominado Primetime Emmy Outstanding Supporting Actor in a Comedy or Comedy-Variety or Music Series Vida y milagros del Capitán Miller For playing: ""Stan Wojciehowicz"".', 'Massachusetts Independent Film Festival 2014 Ganador Festival Prize Best Actor Feature The Frontier', 'Los Angeles Independent Film Festival Awards 2015 Nominado LAIFF October Award Best Actor In Memory', 'Soap Hub Award 2021 Nominado 2nd Annual Soap Hub Award Favorite General Hospital Actor Hospital General 2020 Nominado 1st Annual Soap Hub Award Favorite General Hospital Actor Hospital General']","tt0464891"
"Sierra Peters","NULL","['Reparto', 'Reparto']","['su papel en Disposable', 'Act Your Age', 'Crab Orchard']","NULL","tt0464891"
"Saydee Dickinson","NULL","['Reparto', 'Dirección de casting', 'Reparto']","['su papel en Desde cero', 'Nate el grande', 'Fauces de la noche']","['Paris Film Festival 2021 Nominado Best Actress The Carducci Talent Show', 'Couch Film Festival 2021 Nominado Best Actress 30:01 to 60:00 Minutes The Carducci Talent Show', 'Horrorhaus Film Festival 2021 Nominado Best Supporting Actress Best Supporting Actress The Carducci Talent Show', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']","tt12831622"
"Johnno Wilson","NULL","['Reparto', 'Guion', 'Producción']","['Me alegro por ti', 'Larry David (Curb Your Enthusiasm', 'El método Williams']","NULL","tt12831622"
"Sara Fletcher","NULL","['Reparto', 'Producción', 'Guion']","NULL","['Savannah Film Festival 2015 Nominado Best Historical Short Historical Shorts The Girl in the Green Dress Compartido con: Johanna Saldaña · Leah McKendrick', 'River Bend Film Festival, US 2014 Ganador Best Short The Secret Keeper Compartido con: Bradley Fletcher · Bears Rebecca Fonté', 'Idyllwild International Festival of Cinema 2017 Ganador IIFC Award Best Supporting Actress - Feature Bad People', 'LA Web Fest 2013 Ganador Outstanding Achievement Award Best ensemble cast for horror/sci-fi/fantasy 8.13 Compartido con: Beau Ryan · Chris Dorman · Craig Frank · Traycee King · Flood Reed · Marisha Ray · Rebecca Denise · · ·', 'Horrorhaus Film Festival 2021 Ganador Best Supporting Actress Best Supporting Actress The Carducci Talent Show']","tt12831622"
"Anthony Fanelli","NULL","['Reparto', 'Producción', 'Dirección']","['su papel en Reasonable Doubt', 'S']","['Key West Film Festival 2021 Nominado Jury Prize Best Comedy Short Film Last Chance Compartido con: Gina Comparetto · Lyndsi LaRose', 'Shockfest Film Festival, US 2021 Ganador Festival Award Best Short Film The Carducci Talent Show', 'Couch Film Festival 2021 Nominado Best Drama 30:01-60:00 Minutes The Carducci Talent Show 2021 Nominado Best Writer 30:01 to 60:00 Minutes The Carducci Talent Show 2021 Nominado Best Thriller 10:01-20:00 Minutes Juncture', 'LA Indie Film Fest 2019 Nominado Audience Choice Award Best Short Film Juncture 2019 Nominado Screenplay Competition Feature Screenplay Skokie Stakeout', 'Mile High Horror Film Festival 2021 Ganador Audience Award Audience Award for Best Short Film Last Chance']","tt12831622"
"Maya Nalli","1991","['Reparto', 'Guion', 'Producción']","['La familia Upshaw', 'Dollface', 'Black-ish']","NULL","tt12831622"
"Michael Strassner","NULL","['Reparto', 'Guion', 'Dirección']","['su papel en Young Rock', 'Modern Family', 'A Spy Movie']","NULL","tt12831622"
"Arielle Fanelli","1985","['Reparto', 'Producción', 'Reparto']","['Agente Carter', 'The Carducci Talent Show', 'Juncture']","NULL","tt12831622"
"Andrew Searles","NULL","['Reparto', 'Equipos adicionales', 'Reparto']","['Ghosts', 'Big Break', 'The Carducci Talent Show']","NULL","tt12831622"
"Miranda O'Hare","NULL","['Reparto', 'Guion', 'Producción']","['su papel en Coven', 'Valorant', 'XCOM: Chimera Squad']","['Los Angeles Film Awards 2018 Ganador LAFA January Award Best Duo Indigo Lake Compartido con: Andrew Cutcliffe', 'Oniros Film Awards 2018 Ganador February Monthly Edition Best Actress Indigo Lake', 'Hollywood Blood Horror Festival 2023 Ganador Jury Prize Best Feature Clown Fear Compartido con: Minh Collins · Asif Akbar · Sadie Katz · Augie Duke · Tiffani Fest · Nikki Kris · Courtney Lynn · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']","tt12831622"
"Kelly Hauenstein","NULL","['Reparto', 'Reparto']","['su papel en Bad Penny']","NULL","tt10258992"
"Molly Tage","NULL","['Reparto', 'Reparto']","['su papel en Bad Penny']","NULL","tt10258992"
"Yô Ôizumi","1973","['Reparto', 'Guion', 'Dirección']","['El recuerdo de Marnie', 'El viaje de Chihiro', 'El castillo ambulante']","['Awards of the Japanese Academy 2024 Nominado Award of the Japanese Academy Best Supporting Actor Mom, Is That You?! 2023 Nominado Award of the Japanese Academy Best Actor Tsuki no michikake 2018 Nominado Award of the Japanese Academy Best Actor Tantei wa bar ni iru 3 2016 Nominado Award of the Japanese Academy Best Actor Kakekomi onna to kakedashi otoko 2012 Nominado Award of the Japanese Academy Best Actor Tantei wa bar ni iru', 'Blue Ribbon Awards 2016 Ganador Blue Ribbon Award Best Actor Kakekomi onna to kakedashi otoko', 'Toronto After Dark Film Festival 2018 Ganador Special Award Best Leading Actor I Am a Hero', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']","tt3775202"
"Kasumi Arimura","1993","['Reparto', 'Guion', 'Dirección']","['Birigyaru', 'El recuerdo de Marnie', 'Sutorobo ejji']","['Awards of the Japanese Academy 2023 Nominado Award of the Japanese Academy Best Supporting Actress Tsuki no michikake 2022 Ganador Award of the Japanese Academy Best Actress Hanatabamitai na koi o shita 2016 Nominado Award of the Japanese Academy Best Actress Birigyaru 2016 Ganador Award of the Japanese Academy Newcomer of Year Birigyaru', 'Blue Ribbon Awards 2016 Ganador Blue Ribbon Award Best Actress BirigyaruSutorobo ejji', 'Huading Award 2022 Nominado Huading Award Best Global Actress in a Motion Picture Hanatabamitai na koi o shita', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']","tt3775202"
"Masami Nagasawa","1987","['Reparto', 'Reparto']","['Gintama', 'Mazâ', 'Sekai no chûshin de, ai o sakebu']","[""Hochi Film Awards 2020 Nominado Hochi Film Award Best Actress The Confidence Man JP: PrincessMazâ 2020 Ganador Readers' Choice Award Best Actress The Confidence Man JP: PrincessMazâ 2019 Ganador Hochi Film Award Best Actress Masukarêdo hoteru 2004 Ganador Hochi Film Award Best Supporting Actress Sekai no chûshin de, ai o sakebu"", 'Awards of the Japanese Academy 2021 Ganador Award of the Japanese Academy Best Actress Mazâ 2021 Nominado Award of the Japanese Academy Best Actress The Confidence Man JP: Princess 2020 Ganador Award of the Japanese Academy Best Supporting Actress Kingudamu 2018 Nominado Award of the Japanese Academy Best Actress Sanpo suru shinryakusha 2016 Nominado Award of the Japanese Academy Best Supporting Actress Nuestra hermana pequeña 5 más', 'Mainichi Film Concours 2021 Nominado Mainichi Film Concours Best Actress MazâThe Confidence Man JP: Princess 2018 Ganador Mainichi Film Concours Best Actress Sanpo suru shinryakusha 2016 Ganador Mainichi Film Concours Best Supporting Actress Nuestra hermana pequeña', 'Blue Ribbon Awards 2021 Ganador Blue Ribbon Award Best Actress MazâThe Confidence Man JP: Princess 2020 Ganador Blue Ribbon Award Best Actress The Confidence Man JP: The Movie 2020 Nominado Blue Ribbon Award Best Supporting Actress KingudamuMasukarêdo hoteru 2012 Nominado Blue Ribbon Award Best Actress Gaku 2012 Ganador Blue Ribbon Award Best Supporting Actress Moteki 1 más', 'Yokohama Film Festival 2004 Ganador Festival Prize Best New Talent Ashura no gotokuRobokon']","tt3775202"
"Hisashi Yoshizawa","1978","['Reparto', 'Reparto']","['Êsu o nerae!', 'Burû Hâtsu ga kikoeru', 'Watashi-tachi wa Doka Shiteiru']","NULL","tt3775202"
