"nombre","año_nacimiento","que_hace","conocido_por","premios","ID_IMDB"
"Albin Grenholm","NULL","['Reparto', 'Reparto']","['su papel en Midnattssol', 'Hijos de la nieve', 'Blinded']","NULL","tt10500534"
"Ann Petrén","1954","['Reparto', 'Reparto']","['Border', 'Om jag vänder mig om', 'Happy End']","['Berlin International Film Festival 2004 Ganador Silver Berlin Bear Outstanding Artistic Achievement Om jag vänder mig om To the ensemble cast. Compartido con: Leif Andrée · Pernilla August · Jan Coster · Jakob Eklund · Ingvar Hirdwall · Magnus Krepper · · · · · · · ·', 'Festróia - Tróia International Film Festival 2004 Ganador Silver Dolphin Best Actress (Melhor Interpretação Feminia) Om jag vänder mig om', 'Guldbagge Awards 2012 Ganador Guldbagge Best Actress (Bästa kvinnliga huvudroll) Happy End 2005 Nominado Guldbagge Best Supporting Actress (Bästa kvinnliga biroll) Masjävlar 2004 Ganador Guldbagge Best Actress (Bästa kvinnliga huvudroll) Om jag vänder mig om', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']","tt10500534"
"Paloma Perez","NULL","['Reparto', 'Reparto']","['su papel en Inland']","NULL","tt10500534"
"Tage Hervén","NULL","['Reparto', 'Arte', 'Dirección']","['su papel en Ägget', 'Kung Fury', 'Charter']","NULL","tt10500534"
"Rasmus Winblad","NULL","['Reparto', 'Reparto']","['su papel en Flugparken', 'Inland']","NULL","tt10500534"
"Simon Lindgren","1999","['Cámara y electricidad', 'Reparto', 'Cámara y electricidad']","['Glaciär', 'Bullets', 'Rift']","NULL","tt10500534"
"Lena P. Cederlund","NULL","['Arte', 'Reparto', 'Dirección de arte']","['su papel en Déjame entrar', 'Un cuento gamberro de Navidad', 'Inland']","NULL","tt10500534"
"Sharayu Mahale","NULL","['Reparto', 'Producción', 'Arte']","['su papel en Attaway General', 'Unmothered', 'Severance']","['Jaipur International Film Festival 2023 Nominado Best Web Series Web Series Strings Attached Compartido con: Andy Wolf · Jessica Hutchinson · Marie Förster · Lucinda Bruce · Jack Armstrong · Julia Kemp · · · · · · · · · · · · · · · · · · · · · · · · · ·', 'The Short Film Awards 2022 Nominado Best Web Series Best Web Series Strings Attached Compartido con: Andy Wolf · Jessica Hutchinson · Marie Förster · Lucinda Bruce · Jack Armstrong · Julia Kemp · · · · · · · · · · · · · · · · · · · · · · · · · ·', 'Seoul Web Fest 2022 Ganador Best Web Series Best Web Series Strings Attached Compartido con: Andy Wolf · Jessica Hutchinson · Marie Förster · Lucinda Bruce · Jack Armstrong · Julia Kemp · · · · · · · · · · · · · · · · · · · · · · · · · ·', 'Cult Critic Movie Awards 2020 Ganador Outstanding Achievement Award Film on Women Fi aur Me Compartido con: Ria Patel · Chris Leary', 'Indie Short Fest 2022 Nominado June Award Best Web and New Media Strings Attached Compartido con: Andy Wolf · Jessica Hutchinson · Marie Förster · Lucinda Bruce · Jack Armstrong · Julia Kemp · · · · · · · · · · · · · · · · · · · · · · · · · ·']","tt10028626"
"Jakub Jablonský","NULL","['Reparto', 'Reparto']","['su papel en The Male Gaze: Hide and Seek', 'Kdyz draka boli hlava', 'If Only You Were Mine']","NULL","tt10106838"
"Peter Martincek","NULL","['Reparto', 'Reparto']","['su papel en The Male Gaze: Hide and Seek', 'Lajna', 'If Only You Were Mine']","NULL","tt10106838"
"Judita Hansman","1967","['Reparto', 'Reparto']","['Tajne zivoty', 'La profesora', 'We Have Never Been Modern']","NULL","tt10106838"
"Tadanobu Asano","1973","['Reparto', 'Dirección', 'Composición']","['Mongol', 'Battleship', 'Thor: Ragnarok']","['Hawaii International Film Festival 2015 Ganador Maverick Award', 'Hochi Film Awards 2000 Ganador Hochi Film Award Best Supporting Actor Gojô reisenki: GojoeGohatto', 'Awards of the Japanese Academy 2016 Nominado Award of the Japanese Academy Best Supporting Actor Nagasaki, recuerdos de mi hijo 2010 Nominado Award of the Japanese Academy Best Actor Tsurugidake: Ten no ki 2010 Nominado Award of the Japanese Academy Best Actor Viyon no tsuma 2009 Nominado Award of the Japanese Academy Best Supporting Actor Kâbê 2004 Nominado Award of the Japanese Academy Best Supporting Actor Zatoichi 1 más', 'Japanese Professional Movie Awards 1997 Ganador Japanese Professional Movie Award Best Actor HelplessFocus', 'Moscow International Film Festival 2014 Ganador Silver St. George Best Actor Watashi no otoko']","tt3846972"
"Kumiko Asô","1978","['Reparto', 'Banda sonora', 'Reparto']","['Pulse (Kairo', 'Dr']","['Hochi Film Awards 2007 Ganador Hochi Film Award Best Actress Yûnagi no machi sakura no kuni 1998 Ganador Hochi Film Award Best Supporting Actress Dr. Akagi', 'Awards of the Japanese Academy 2012 Nominado Award of the Japanese Academy Best Supporting Actress Moteki 1999 Ganador Award of the Japanese Academy Best Supporting Actress Dr. Akagi 1999 Ganador Newcomer of the Year Dr. Akagi', 'Japanese Professional Movie Awards 2002 Ganador Japanese Professional Movie Award Best Actress Pulse (Kairo)Zeitaku na hone', 'Mainichi Film Concours 2008 Ganador Mainichi Film Concours Best Actress Yûnagi no machi sakura no kuni', 'Blue Ribbon Awards 2008 Ganador Blue Ribbon Award Best Actress Yûnagi no machi sakura no kuni']","tt3846972"
"Toyotaka Hanazawa","1964","['Reparto', 'Reparto']","['Shin Godzilla', '22-nenme no kokuhaku: Watashi ga satsujinhan desu', 'Gurasuhoppâ']","NULL","tt3846972"
"Haru","NULL","['Reparto', 'Reparto']","['su papel en Asa ga kita', 'Kôhî ga samenai uchi ni', 'Riaru onigokko']","NULL","tt3846972"
"Tôma Ikuta","1984","['Reparto', 'Reparto']","['Ningen shikkaku', 'Hanamizuki', 'Nô Otoko']","NULL","tt3846972"
"Renji Ishibashi","1941","['Reparto', 'Banda sonora', 'Reparto']","['Rônin-gai', 'Audition', 'Ware ni utsu yoi ari']","['Hochi Film Awards 1990 Ganador Hochi Film Award Best Supporting Actor Rônin-gaiWare ni utsu yoi ari', ""Awards of the Japanese Academy 2011 Nominado Award of the Japanese Academy Best Supporting Actor Kondo wa aisaika 1991 Ganador Award of the Japanese Academy Best Supporting Actor Rônin-gaiWare ni utsu yoi ari 1982 Nominado Award of the Japanese Academy Best Supporting Actor Masho no natsu - 'Yotsuya kaidan' yoriKemono-tachi no atsui nemuri"", 'Kinema Junpo Awards 1991 Ganador Kinema Junpo Award Best Supporting Actor Rônin-gaiWare ni utsu yoi ari', 'Mainichi Film Concours 1991 Ganador Mainichi Film Concours Best Supporting Actor Rônin-gaiWare ni utsu yoi ari', 'Yokohama Film Festival 1982 Ganador Festival Prize Best Supporting Actor Kemono-tachi no atsui nemuri']","tt3846972"
"Norihito Kaneko","1978","['Reparto', 'Reparto']","['Taiho shichauzo', 'Gurasuhoppâ', 'Urutoraman Zetto']","NULL","tt3846972"
"Jun Murakami","1973","['Reparto', 'Dirección', 'Guion']","['Futei no kisetsu', 'Nabbie no koi', 'Kyûtî Hanî']","NULL","tt3846972"
"Ozuno Nakamura","NULL","['Reparto', 'Reparto']","['su papel en Godzilla Minus One', 'Toshokan sensô', 'Eien no 0']","NULL","tt3846972"
"Tegan Farrelly","NULL","['Reparto', 'Banda sonora', 'Reparto']","['su papel en La diplomática', 'Wine and Roses (and Wine']","NULL","tt12080810"
"Craig Andrew Robertson","NULL","['Edición', 'Dirección', 'Guion']","['su papel en The Thistle in the Kiss, Last House on CCTV', 'The Acolyte']","NULL","tt12080810"
"Johan M. Craft","NULL","['Reparto', 'Reparto']","['su papel en Monster School: Minecraft Animation']","NULL","tt10365674"
"Pham Viet Dung","NULL","['Reparto', 'Reparto']","['su papel en Drama', 'Drama', 'Drama']","NULL","tt10365674"
"Viet Pham","NULL","['Equipos adicionales', 'Equipos adicionales']","['su papel en Kinect Adventures!', 'Drama', 'Deuramaui Jewang']","NULL","tt10365674"
"Eben Ezer Purba","NULL","['Dirección', 'Reparto', 'Guion']","['su papel en Monster School: Minecraft Animation']","NULL","tt10365674"
"Randall Sanchez","NULL","['Reparto', 'Reparto']","['su papel en Monster School: Minecraft Animation', 'Alex and the Monsters', 'Alex and the Monsters']","NULL","tt10365674"
"Teddy Squid","NULL","['Reparto', 'Reparto']","['su papel en Monster School: Minecraft Animation', 'Alex and the Monsters', 'Alex and the Monsters']","NULL","tt10365674"
"Kiara Alexa T. Tadic","NULL","['Reparto', 'Dirección', 'Guion']","['su papel en Alex and the Monsters', 'Alex and the Monsters', 'Monster School: Minecraft Animation']","NULL","tt10365674"
"Michael Muhney","1975","['Reparto', 'Guion', 'Producción']","['Veronica Mars', 'The Young and the Restless', 'Sidepiece']","['Daytime Emmy Awards 2013 Nominado Daytime Emmy Outstanding Lead Actor in a Drama Series The Young and the Restless For playing ""Adam Newman"".', 'AltFF Alternative Film Festival 2020 Ganador Festival Prize Best Actor Sidepiece', 'X World Short Film Festival 2019 Nominado Best Actor Comedy Sidepiece 2019 Ganador Best Actor Best Comedy Actor Sidepiece', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']","tt0464891"
"Eddie Jones","1934","['Reparto', 'Reparto']","['La terminal', 'Seabiscuit, más allá de la leyenda', 'Sneakers (Los fisgones']","NULL","tt0464891"
"Pat Morita","1932","['Reparto', 'Guion', 'Producción']","['Karate Kid (El momento de la verdad', 'Karate Kid III: El desafío final', 'Karate Kid II']","['Academy Awards, USA 1985 Nominado Oscar Best Actor in a Supporting Role Karate Kid (El momento de la verdad)', 'Primetime Emmy Awards 1986 Nominado Primetime Emmy Outstanding Supporting Actor in a Miniseries or a Special Quizás en primavera For playing ""Tommy Tanaka"".', 'Golden Globes, USA 1986 Nominado Golden Globe Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television Quizás en primavera 1985 Nominado Golden Globe Best Performance by an Actor in a Supporting Role in a Motion Picture Karate Kid (El momento de la verdad)', 'Razzie Awards 1990 Nominado Razzie Award Worst Supporting Actor Karate Kid III: El desafío final', 'Walk of Fame 1994 Ganador Star on the Walk of Fame Motion Picture On 4 August 1994. At 6633 Hollywood Blvd.']","tt0464891"
