Tipo,Género,Título,Mes,Año,ID_IMDB
Movie,Drama,Chon-cheol-sal-in,2,2011,tt10210336
Movie,Drama,Corazones en llamas,11,2011,tt10217352
Movie,Drama,"Tôi Nay, 8 Gio!",12,2011,tt10229972
Movie,Drama,Session,5,2011,tt1024666
Short,Drama,Gritty Tintin,11,2011,tt10255446
Short,Drama,Aasai (Wish),7,2011,tt10267484
Short,Drama,Oru Naal (One Day),2,2011,tt10267680
Short,Drama,Flat 443,6,2011,tt10268442
Movie,Drama,Neugierde,8,2011,tt10285580
Short,Drama,Natural Frescoes,9,2011,tt10289032
Short,Drama,Zealous,9,2011,tt10292936
Short,Drama,Runaway,1,2011,tt10294908
Movie,Drama,On the Road,5,2012,tt0337692
Movie,Drama,Acorralados,6,2012,tt0426566
Movie,Drama,Caleuche: El llamado del Mar,11,2012,tt0433533
Movie,Drama,Lincoln,1,2013,tt0443272
Movie,Drama,Life of Pi,12,2012,tt0454876
Movie,Drama,Being Flynn,9,2012,tt0455323
Movie,Drama,Steve Phoenix: The Untold Story,1,2012,tt0462036
Movie,Drama,Sushi in Suhl,10,2012,tt0485521
Movie,Drama,Red Tails,1,2012,tt0485985
Movie,Drama,A Thousand Words,3,2012,tt0763831
Movie,Drama,The Attack,5,2013,tt0787442
Movie,Drama,Belle du Seigneur,6,2013,tt0810772
Movie,Drama,Jack & Diane,4,2012,tt0850677
Movie,Drama,Folie à deux,7,2012,tt0852441
Movie,Drama,The Sweeney,3,2013,tt0857190
Movie,Drama,Evangelion Shin Gekijôban: Kyu,11,2012,tt0860907
Movie,Drama,Letting Go,10,2012,tt0865557
Movie,Drama,Exposed,11,2012,tt0907852
Movie,Drama,White Men Can't Dance,1,2012,tt0926170
Movie,Drama,Hitchcock,3,2013,tt0975645
Movie,Drama,Four,9,2013,tt0980999
Movie,Drama,The Courier,5,2012,tt0995845
Short,Drama,La sera prima,2,2012,tt10048686
Short,Drama,In the Mirror,7,2012,tt10055924
Short,Drama,Burbujas,5,2012,tt10071126
Short,Drama,Never Do Harm,4,2012,tt10075430
Movie,Drama,Kokomma,9,2012,tt10077568
Short,Drama,A Timely Anniversary,12,2012,tt10079410
Movie,Drama,The flowers at the window,2,2012,tt10096178
Short,Drama,"Roscoe, Lowlands",6,2012,tt10097414
Movie,Drama,"Mamo, ya lotchyka lyublyu",10,2012,tt10097664
Short,Drama,Littekens,9,2012,tt10107454
Short,Drama,Silencio,12,2012,tt10117024
Short,Drama,La Culpa es del Calzón,1,2012,tt10118644
Short,Drama,Stut,9,2012,tt10117908
