Tipo,Género,Título,Mes,Año,ID_IMDB
Movie,Action,The Tourist,1,2011,tt1243957
Movie,Action,RED,10,2010,tt1245526
Movie,Action,Magic Journey to Africa,5,2010,tt1247681
Movie,Action,The Lazarus Papers,7,2011,tt1247400
Movie,Action,Kick-Ass,4,2010,tt1250777
Short,Action,"The Samurai of Strongsville, Ohio",1,2010,tt1258783
Movie,Action,Icarus,7,2010,tt1261862
Movie,Action,The Last Rites of Ransom Pride,6,2020,tt1268970
Movie,Action,Rogues Gallery,5,2012,tt1268987
Movie,Action,Hatchet II,7,2013,tt1270835
Short,Action,C.T.F.,4,2010,tt12717330
Movie,Action,Kandagar,2,2010,tt1272018
Movie,Action,Ascension,3,2010,tt12730876
Movie,Action,The Spy Next Door,2,2010,tt1273678
Movie,Action,An Immortal Tale,4,2010,tt1274272
Movie,Action,Liverpool vs Blackpool,10,2010,tt12775128
Movie,Action,Ramaa: The Saviour,11,2010,tt1279105
Movie,Action,Banglar King Kong,6,2010,tt12798342
Short,Action,Toshiba - Parkour Messenger,8,2010,tt12798398
Movie,Action,Supreme Champion,7,2010,tt1283546
Movie,Action,One Long Day,8,2010,tt1283930
Short,Action,Double Negative,8,2010,tt1284025
Movie,Action,Lahore,3,2010,tt1285245
Movie,Action,Cats & Dogs: The Revenge of Kitty Galore,7,2010,tt1287468
Movie,Action,A Goldfish of the Flame,12,2010,tt1288587
Movie,Action,Everyday Black Man,1,2010,tt1289397
Movie,Action,Snabba cash,10,2010,tt1291652
Movie,Action,Allah Ke Banday,11,2010,tt1292642
Short,Action,Traffic Jam,7,2010,tt12937564
Movie,Action,Last Letters from Monte Rosa,8,2010,tt1305039
Movie,Action,Enthiran,10,2010,tt1305797
Movie,Action,The Big Bang,2,2011,tt1307873
Movie,Action,American Grindhouse,3,2010,tt1307861
Movie,Action,Lamhaa: The Untold Story of Kashmir,7,2010,tt1309561
Movie,Action,The Potential Inside,9,2010,tt1315963
Short,Action,El Aeropuerto,10,2010,tt13190330
Movie,Action,Little Big Soldier,2,2010,tt1319718
Movie,Action,Shank,3,2010,tt1320296
Movie,Action,The Expendables,8,2010,tt1320253
Movie,Action,La hora cero,10,2010,tt1322302
Movie,Action,Fight or Flight,4,2010,tt1323917
Movie,Action,Pangaa Gang,1,2010,tt13242972
Movie,Action,The Twilight Saga: Eclipse,6,2010,tt1325004
Movie,Action,Opération Casablanca,10,2010,tt1327808
Movie,Action,Death Calls,9,2010,tt1328873
Movie,Action,The Final Storm,4,2010,tt1331329
Movie,Action,Kongen av Bastøy,12,2011,tt1332134
Movie,Action,Shoot the Hero,1,2010,tt1332119
Movie,Action,Raavan,6,2010,tt1334470
Movie,Action,Fast Lane,1,2014,tt1335992
Movie,Action,The Wylds,8,2010,tt1336619
Movie,Action,Nokas,10,2010,tt1337366
Movie,Action,Mei loi ging chat,4,2010,tt1337055
Movie,Action,Brestskaya krepost,11,2010,tt1343703
Short,Action,El Banco,12,2010,tt13514526
Movie,Action,Nude Nuns with Big Guns,9,2010,tt1352388
Movie,Action,The Blue Seal,7,2010,tt1352672
Short,Action,Ultra,9,2010,tt1357213
Movie,Action,Jaljala,11,2010,tt13624634
Short,Action,DJ Eurobass feat. Ralf Kemper - Toxic Lullaby,9,2010,tt13667590
Movie,Action,Inception,7,2010,tt1375666
Movie,Action,Gunless,4,2010,tt1376195
Movie,Action,Freight,10,2010,tt1376404
Movie,Action,When Soldiers Cry,2,2010,tt1378811
Movie,Action,Forged,7,2010,tt1380995
Movie,Action,Die Bielefeld Verschwörung,6,2010,tt1381403
Movie,Action,Cop Out,3,2010,tt1385867
Movie,Action,The Other Guys,11,2010,tt1386588
Movie,Action,The Dead,9,2012,tt1386925
Movie,Action,Ip Man 2,4,2010,tt1386932
Movie,Action,Baseline,8,2012,tt1390397
Movie,Action,Desafío,11,2010,tt1392982
Movie,Action,Once Upon a Time in Mumbaai,7,2010,tt1395054
Movie,Action,Zatôichi: The Last,5,2010,tt1400558
Movie,Action,Slime City Massacre,3,2010,tt1401631
Movie,Action,Rage,5,2010,tt1403987
Movie,Action,The Bannen Way,1,2010,tt1404830
Movie,Action,Le baltringue,1,2010,tt1405807
Movie,Action,Twelve,1,2011,tt1407084
Movie,Action,Krantiveer: The Revolution,6,2010,tt1408029
Movie,Action,13 Hrs,8,2010,tt1411232
Short,Action,Devil's Salvation,6,2010,tt14123732
Movie,Action,Deyueru masutazu en no kizuna XX,8,2010,tt14128502
Movie,Action,Gôruden suranbâ,1,2010,tt1413529
Movie,Action,Tracker,4,2011,tt1414378
Movie,Action,Texas Frightmare Massacre,4,2010,tt1416343
Movie,Action,Predators,7,2010,tt1424381
Movie,Action,True Legend,2,2010,tt1425257
Movie,Action,War Machine,5,2010,tt1426389
Movie,Action,The Boxer,1,2012,tt1426325
Short,Action,Out of the Darkness,3,2010,tt1427694
Movie,Action,Coursier,2,2010,tt1429429
Movie,Action,Alien Opponent,8,2011,tt1429382
Movie,Action,No Problem,12,2010,tt1431122
Movie,Action,Faster,1,2020,tt1433108
Movie,Action,13 Assassins,9,2010,tt1436045
Movie,Action,Gladiator Games,9,2010,tt1439532
Movie,Action,Le ultime 56 ore,5,2010,tt1440231
Movie,Action,The Spy Who Kicked Me,4,2010,tt14404234
Movie,Action,The American,9,2010,tt1440728
Movie,Action,Joo-yoo-so-seup-gyeok-sa-geon-too,1,2010,tt1442512
Movie,Action,14 Blades,2,2010,tt1442571
Movie,Action,The Gift,6,2011,tt1445206
Movie,Action,Caught in the Crossfire,11,2012,tt1449379
Movie,Action,Tu to Sajan Mara Kadje Korani,10,2010,tt14527302
Movie,Action,Devil's Playground,10,2010,tt1453245
Short,Action,Take Us On,3,2010,tt1454674
Movie,Action,Caribbean Basterds,8,2010,tt1455613
Movie,Action,Prince,4,2010,tt1455816
Movie,Action,Boy Wonder,4,2012,tt1456060
Movie,Action,Jing wu feng yun: Chen Zhen,9,2010,tt1456661
Movie,Action,"Tomorrow, When the War Began",9,2010,tt1456941
Movie,Action,The Next Three Days,12,2010,tt1458175
Short,Action,Hunter's Moon,7,2010,tt1458462
Movie,Action,Jian yu,9,2010,tt1460743
Movie,Action,Autoreiji,6,2010,tt1462667
Movie,Action,Falling Down,7,2010,tt1463774
Movie,Action,The Weathered Underground,1,2010,tt1464590
Movie,Action,Mit moon,1,2010,tt1465499
Movie,Action,Confession,7,2010,tt1465477
Movie,Action,The Wrath of Cain,10,2010,tt1465519
Short,Action,Cinco minutos para medianoche,2,2010,tt1466449
Short,Action,The Grove,4,2010,tt1466513
Movie,Action,Bear,6,2010,tt1468703
Movie,Action,Higashi no Eden Gekijôban II: Paradise Lost,3,2010,tt1468321
Movie,Action,MacGruber,5,2010,tt1470023
Short,Action,Hedge-Hands,2,2010,tt14702776
Short,Action,"Good Guys, Inc.",4,2010,tt1474200
Movie,Action,Slimed,3,2010,tt1474859
Movie,Action,Space Battleship Yamato,12,2010,tt1477109
Movie,Action,"Kôshônin: The movie - Taimu rimitto kôdo 10,000 m no zunôsen",2,2010,tt1478965
Movie,Action,Transparency,4,2010,tt1479398
Movie,Action,Wildfire: The Arabian Heart,1,2010,tt1482957
Movie,Action,Asal,2,2010,tt1483821
Movie,Action,Drug Related,10,2010,tt1486652
Short,Action,Get Some,4,2010,tt1486696
Movie,Action,Hana no ato,3,2010,tt1487916
Short,Action,Officer Lenot in: Showtime,11,2010,tt1493046
Short,Action,Respiración,2,2010,tt1493123
Movie,Action,Trap,5,2010,tt1494828
Movie,Action,Paiyaa,4,2010,tt1496832
